experiment,mode,k,assigned_class,n_samples,n_true_poisoned,n_flagged,tp,fp,fn,precision,recall,flag_rate
knn_defense_cifar_1xs_1500_remove_k5,remove,5,0,5030,43,122,43,79,0,0.3524590163934426,1.0,0.024254473161033796
knn_defense_cifar_1xs_1500_remove_k5,remove,5,1,5001,66,145,65,80,1,0.4482758620689655,0.9848484848484849,0.028994201159768047
knn_defense_cifar_1xs_1500_remove_k5,remove,5,2,4998,6,201,6,195,0,0.029850746268656716,1.0,0.040216086434573826
knn_defense_cifar_1xs_1500_remove_k5,remove,5,3,4992,16,345,16,329,0,0.0463768115942029,1.0,0.06911057692307693
knn_defense_cifar_1xs_1500_remove_k5,remove,5,4,6209,1209,1117,980,137,229,0.8773500447627574,0.8105872622001654,0.17990014495087775
knn_defense_cifar_1xs_1500_remove_k5,remove,5,5,4978,5,365,5,360,0,0.0136986301369863,1.0,0.07332261952591403
knn_defense_cifar_1xs_1500_remove_k5,remove,5,6,5020,38,102,38,64,0,0.37254901960784315,1.0,0.020318725099601594
knn_defense_cifar_1xs_1500_remove_k5,remove,5,7,5082,94,159,94,65,0,0.5911949685534591,1.0,0.03128689492325856
knn_defense_cifar_1xs_1500_remove_k5,remove,5,8,4979,15,61,14,47,1,0.22950819672131148,0.9333333333333333,0.01225145611568588
knn_defense_cifar_1xs_1500_remove_k5,remove,5,9,3711,8,514,8,506,0,0.01556420233463035,1.0,0.13850714093236324
knn_defense_cifar_1xs_1500_none_k10,none,10,0,5030,43,122,43,79,0,0.3524590163934426,1.0,0.024254473161033796
knn_defense_cifar_1xs_1500_none_k10,none,10,1,5001,66,126,65,61,1,0.5158730158730159,0.9848484848484849,0.02519496100779844
knn_defense_cifar_1xs_1500_none_k10,none,10,2,4998,6,204,6,198,0,0.029411764705882353,1.0,0.04081632653061224
knn_defense_cifar_1xs_1500_none_k10,none,10,3,4992,16,261,16,245,0,0.06130268199233716,1.0,0.05228365384615385
knn_defense_cifar_1xs_1500_none_k10,none,10,4,6209,1209,1099,980,119,229,0.89171974522293,0.8105872622001654,0.17700112739571588
knn_defense_cifar_1xs_1500_none_k10,none,10,5,4978,5,340,5,335,0,0.014705882352941176,1.0,0.06830052229811169
