experiment,mode,k,epoch,cta,clean_loss,pta,poison_loss
knn_defense_cifar_1xs_1500_none_k1,none,1,125,0.8948,0.0018359657764434815,0.998,8.276377362199128e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,126,0.8974,0.0017919707238674165,0.998,7.425577024696395e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,127,0.8988,0.0017767075598239899,0.997,6.985259597422554e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,128,0.8986,0.0017950204282999038,0.997,6.951601285254583e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,129,0.8969,0.001840924260020256,0.997,7.265747484052553e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,130,0.8981,0.0017979514569044113,0.996,7.754984271014109e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,131,0.8992,0.0017830760091543199,0.996,7.131156092509627e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,132,0.9004,0.001772238940000534,0.996,7.422760885674507e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,133,0.898,0.001811358404159546,0.996,7.05597362248227e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,134,0.8997,0.0018026466339826585,0.998,6.327439757296815e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,135,0.8975,0.0018302848279476167,0.998,6.51190826902166e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,136,0.897,0.0018496561408042908,0.997,6.785132709774189e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,137,0.8955,0.0018982565820217132,0.997,6.88881802780088e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,138,0.8971,0.0018800795942544937,0.998,6.791948775935452e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,139,0.8992,0.0018360324114561081,0.996,7.533804007107392e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,140,0.9005,0.0018207280278205872,0.997,7.006703357910737e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,141,0.8974,0.001895912879705429,0.996,7.133855647407472e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,142,0.8963,0.0019183777034282685,0.998,6.901771266711875e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,143,0.8985,0.0018457557618618012,0.997,7.878923817770555e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,144,0.8959,0.001915621867775917,0.998,6.440675957128405e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,145,0.8962,0.0019121043235063554,0.997,7.068259880179539e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,146,0.8974,0.0018748275965452194,0.997,7.322459481656551e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,147,0.8987,0.0018602310836315155,0.998,6.462759274290874e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,148,0.899,0.001876255875825882,0.997,6.872464524349198e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,149,0.8999,0.001867178338766098,0.997,7.351106920395978e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,150,0.8977,0.001903305971622467,0.998,6.25925803615246e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,151,0.8995,0.0018888628661632538,0.998,6.352537026396021e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,152,0.8978,0.0018938435822725295,0.998,6.132723332848399e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,153,0.8979,0.0019070981711149216,0.998,6.083919998491183e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,154,0.8993,0.0018933614611625672,0.998,6.767648184904829e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,155,0.8987,0.0019014516741037368,0.998,6.721625116188079e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,156,0.8977,0.0019270446419715882,0.998,6.501363178540487e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,157,0.8981,0.0019291333198547364,0.998,6.647734684520401e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,158,0.8965,0.0019351237833499907,0.997,7.520940923132002e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,159,0.8945,0.001969830372929573,0.998,6.247424700995908e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,160,0.8997,0.0018807788908481598,0.997,7.718339754501357e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,161,0.8952,0.001979238721728325,0.998,6.449351921037305e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,162,0.896,0.00196524059176445,0.998,7.112653220247012e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,163,0.897,0.0019616816490888598,0.998,7.400771815446206e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,164,0.8978,0.0019353566467761993,0.998,7.110609860683326e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,165,0.8999,0.0019047855094075203,0.997,7.303892375784927e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,166,0.8969,0.0019540730357170107,0.998,6.849747081287205e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,167,0.8974,0.0019617024123668673,0.998,6.518333033454837e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,168,0.8973,0.0019227834343910218,0.996,7.551947480533273e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,169,0.8987,0.0019346195101737976,0.998,6.400630349526182e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,170,0.897,0.0019320755779743196,0.996,7.377677681506611e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,171,0.8962,0.0019978730857372284,0.996,8.104042355262209e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,172,0.8978,0.0019532299548387527,0.997,7.316115796857048e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,173,0.8945,0.002057549920678139,0.997,6.0318315438053107e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,174,0.8991,0.001963725000619888,0.997,7.182768725033383e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,175,0.8977,0.001958157128095627,0.997,7.280486404488329e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,176,0.8991,0.001956237521767616,0.997,6.413648203306366e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,177,0.8987,0.001963612076640129,0.998,6.977301456208806e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,178,0.8997,0.00195954806804657,0.997,7.241679400613065e-05
