threshold,n_flagged,tp,fp,fn,tn,precision,recall,f1,mcc,fpr,experiment,mode,k
0.28,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.3,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.32,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.34,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.36,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.38,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.4,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.42,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.44,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.46,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.48,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.5,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.52,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.54,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.56,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.58,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.6,3131,1269,1862,231,46638,0.4053018205046311,0.846,0.5480457784495789,0.5686340563139816,0.03839175257731959,knn_defense_cifar_1xs_1500_none_k5,none,5
0.62,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.64,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.66,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
0.68,1874,998,876,502,47624,0.5325506937033084,0.6653333333333333,0.5915826911677534,0.581337437874941,0.018061855670103093,knn_defense_cifar_1xs_1500_none_k5,none,5
